paper_file,authors,comparisons,dataset,environment,frame_sampling_method,hyperparameters,inferring_method,input_video_length,model_pipeline,qa_interaction,repository,retrieval_level,sound_audio_analysis,spatiotemporal_analysis,speech_audio_analysis,video_representation,video_segmentation,visual_analysis
TACo Token-aware Cascade Contrastive Learning for Video-Text Alignment.md,The authors are from Microsoft Research and Carnegie Mellon University; the venue and year are not stated.,"Outperforms baselines like UniVL and MMT on text-video retrieval across YouCook2, MSR-VTT, and ActivityNet, achieving state-of-the-art results (e.g., R@1 of 30.4 on ActivityNet vs. MMT's 28.7).","YouCook2, MSR-VTT, ActivityNet, Howto100M (for pretraining), CrossTask, and COIN.",Not mentioned.,"For 2D features, one frame per second is sampled; for 3D features, frames are sampled at 24 fps and one feature is extracted every 16 frames.","Batch size: 128 (training) or 64 (pretraining); LR: 1e-4 (training) or 5e-5 (pretraining); Optimizer: Adam; Iterations: 30k (training), 500k (pretraining); Hard negatives: 8; Max tokens: 48 video/30 text.",Inference is performed by computing and summing alignment scores from three different contrastive scoring functions between video and text representations.,"The model processes short video clips, typically a few seconds long, from standard datasets; no videos longer than 60 minutes are mentioned.",Video/text inputs → Separate video (self-attention) and language (BERT) encoders → Multi-modal fusion module (self-attention) → Trained with three contrastive losses → Output alignment scores for retrieval/localization.,"Not mentioned. The paper focuses on retrieval, localization, and segmentation tasks without interactive Q&A capabilities.",Not mentioned.,"The system performs text-to-video clip retrieval and also supports finer-grained action step localization and segmentation, implying timestamp-level retrieval.","Not mentioned. The model uses video and text modalities, not sound audio analysis.","Yes, spatiotemporal analysis is performed using 3D CNNs like I3D and S3D for feature extraction, followed by a video encoder with stacked self-attention layers.","Not mentioned. The model uses video and text modalities, not speech audio analysis.","Video clips are represented as a sequence of features from a video encoder (self-attention layers) applied to pre-extracted 2D/3D CNN embeddings, which are then averaged for sentence-level comparison.","Not mentioned, but for the Howto100M dataset, short adjacent clips are merged until the corresponding text has at least 10 words.","The model is multi-modal (video-text), not visual-only, and uses visual backbones including ResNet-152 for 2D features and I3D/S3D for 3D features."
TLDW Summarizing Instructional Videos with Task Relevance & Cross-Modal Saliency.md,"The authors are affiliated with UC Berkeley, Google Research, and Brown University. The publication venue and year are not mentioned in the text.",The model is compared against CLIP-It and three unsupervised cross-modal similarity baselines on the WikiHow Summaries dataset. IV-Sum outperforms the best baseline (CLIP-It trained on pseudo summaries) with a 5.5 point gain in F-Score (67.3 vs 61.8).,"For training, the paper creates a ""Pseudo Summaries"" dataset from COIN and CrossTask. For evaluation, it introduces the new ""WikiHow Summaries"" dataset. Comparisons are also made on instructional videos from TVSum.",The model was trained for approximately 2 days on 8 NVIDIA RTX 2080 GPUs using Distributed Data Parallel.,"Videos are uniformly down-sampled to 8 FPS. During training, a contiguous sequence of 28 segments (896 frames) is randomly sampled from a chosen start location in each video.","The model was trained with a batch size of 24 for 300 epochs. The learning rate was 1e-3 for IV-Sum and 1e-4 for S3D fine-tuning, with 1e-4 weight decay. Videos were processed in 32-frame segments.","The importance of activities is inferred by the IV-Sum model, which uses a 3D CNN and a segment scoring transformer to assign scores to video segments based on visual and speech transcript inputs.",The model processes long instructional videos. The training dataset has an average video length of 3.09 minutes. Whether any processed video is over 60 minutes is not mentioned.,"Input video and ASR transcript → Video segments are encoded by S3D, concatenated with text embeddings, and fed to a segment scoring transformer → The transformer outputs importance scores, and high-scoring segments are concatenated to form the summary video.",Not mentioned. The system is designed for automatic video summarization and does not include any interactive Q&A or chat capabilities.,Not mentioned. The paper states the WikiHow Summaries dataset will be publicly released but does not provide a repository link for the code or data.,"The system returns a summarized video, which is constructed by selecting and concatenating the highest-scoring video segments from the original input video.",Not mentioned. The paper focuses exclusively on speech content via ASR transcripts and does not mention analyzing non-speech audio.,"Yes, spatiotemporal analysis is performed using a 3D CNN (S3D) video encoder to learn context-aware temporal representations for segments, and a segment scoring transformer to contextualize information across multiple segments.","Yes, the model uses speech content via Automatic Speech Recognition (ASR) transcripts, which are encoded and concatenated with visual features to inform the summarization process.","Video content is represented as a sequence of embeddings for non-overlapping segments, generated by a pre-trained S3D network that captures context-aware temporal representations.","Videos are divided into equally sized, non-overlapping segments of 32 frames. For pseudo-summary generation, these segments are further merged into ""steps"" based on dot-product similarity if it exceeds a heuristic threshold.","The model is not visual-only; it uses both video and speech. The primary visual backbone is an S3D network. ResNet50 and CLIP are used for dataset creation and baselines, respectively."
Towards Fast Adaptation of Pretrained Contrastive Models for Multi-channel Video-Language Retrieval.md,"Authors are from Columbia University, UIUC, and National University of Singapore. The paper appears to be a preprint from late 2022, with no conference or journal venue mentioned.","Compared to state-of-the-art models like FrozenBiLM on How2QA, the proposed Text Tokens + Text Transformer model achieves a 6.5% accuracy improvement (93.2% vs 86.7%) without requiring additional pretraining.","The primary datasets are iVQA, How2QA, ActivityNet-QA, YouCook II, and VATEX. MSRVTT-QA and MSVD-QA were also used for analysis. No new datasets were created.","The model requires 0.5 GPU hours for training, but the specific type of GPU is not mentioned.",Not mentioned. The paper uses pretrained video encoders but does not specify their internal frame sampling methods.,"The model uses k=15 retrieved words per video vector, a max pooling kernel size of 5 for words, and a multimodal transformer with 2 blocks and 512/768 embedding dimension. Other details were deferred to supplementary material.",Inference is performed by a pretrained contrastive text transformer that fuses text tokens representing the video with the text query to produce a discriminative embedding for retrieval.,"Not mentioned. The paper notes a sub-sampling strategy for videos that are ""too long to fit the memory"" but does not specify target or processed video durations.","Video and text query → Video is converted to text tokens via a frozen video-text model, concatenated with the query, and fed to a contrastive text transformer → A final embedding is produced for retrieving an answer or video from a corpus.","No, the system performs retrieval-style question answering from a candidate pool, not interactive chat.",A GitHub repository is provided for the code.,The system retrieves text answers from a corpus for video question answering tasks and retrieves videos for text-to-video retrieval tasks.,Not mentioned.,"Yes, spatiotemporal analysis is performed using the S3D visual backbone, which is a 3D convolutional neural network.","Yes, Automatic Speech Recognition (ASR) text is optionally used as an additional text input channel alongside the question.","The paper explores two representations: continuous feature vectors from S3D or CLIP, and discrete text tokens (top-k nouns and verbs) retrieved from a vocabulary based on visual similarity.",Videos are processed by generating one feature vector for every 1.5-second segment.,"The system is multimodal, using visual backbones S3D and the CLIP vision encoder to extract video features."
Towards Holistic Language-video Representation - the language model-enhanced MSR-Video to Text Dataset.md,The authors are Yuchen Yang and Yingxuan Duan from the Swiss Federal Institute of Technology Lausanne. The paper was submitted to an ACM publication in 2024.,"The paper compares MMT, HCQ, and T2VLAD models trained on original versus improved MSR-VTT, reporting significant gains on r@1, r@5, and r@10 with improved queries (e.g., MMT r@1 improves from 10.0 to 35.2).","The paper uses the MSR-VTT dataset and creates an enhanced version, which it refers to as Holistic-MSR-VTT, by generating new, multifaceted annotations.",Not mentioned.,Frames are sampled at a rate of 2 frames per second for both tone captioning with EmoNet and style captioning via K-means dominant color detection.,Not mentioned. The paper states it uses the same parameters as the original papers for the evaluated models but does not list any specific values.,"Narrative elements are inferred by combining outputs from expert models (BLIP, Whisper, EmoNet, K-means) which are then synthesized into a factual description by the Llama 2 model using a rule-based prompting strategy.","The paper processes short video clips from the MSR-VTT dataset, with each clip's duration being between 10 to 20 seconds; no videos longer than 60 minutes are mentioned.","Video clips → Expert models (BLIP, Whisper, EmoNet, K-means) extract visual, dialogue, tone, and style features → A Llama 2 agent synthesizes these features into a holistic text description.",Not mentioned. The paper uses Llama 2 to generate descriptions in a pipeline but does not describe any interactive Q&A or chat capabilities.,Not mentioned. The paper provides links to third-party libraries and model cards but not to a central repository for the project's code or enhanced dataset.,"The system is evaluated on a text-to-video retrieval task, where the retrieval level is returning entire video clips in response to a text query.",Not mentioned. The paper only discusses audio processing in the context of speech transcription.,"Spatiotemporal analysis is performed for tone detection using EmoNet, which utilizes a 3D CNN to extract features from facial images and an RNN to model temporal dynamics.","Speech content is analyzed using Whisper's ""small model"" to perform automatic speech recognition (ASR), transcribing multilingual audio from videos into English text.","Video content is represented via multi-modal retrieval models (MMT, HCQ, T2VLAD) that use specialized ""expert"" encoders to extract and fuse features from modalities like scene, face, motion, and audio.","The paper uses the pre-segmented video clips from the MSR-VTT dataset, which are each 10 to 20 seconds long, and does not apply any new segmentation methods.","The paper performs visual-only analysis using multiple models: BLIP for sequential image captioning, EmoNet for tone detection from faces, and K-means clustering for dominant color extraction."
Traffic Video Event Retrieval via Text Query using Vehicle Appearance and Motion Attributes.md,"Authors are affiliated with University of Science (Ho Chi Minh City), Vietnam National University (Ho Chi Minh City), John von Neumann Institute, University of Dayton, and University of Illinois at Urbana-Champaign, for the AI City Challenge 2021.","An ablation study compares four internal configurations (V1-V4), with the baseline being a raw COOT model. The final model (V4) is compared against other teams on the AI City Challenge 2021 Track 5, achieving 6th place with a 0.1560 MRR score.","The dataset of Track 5 in AI City Challenge 2021, also referred to as the CityFlow-NL benchmark.",Not mentioned.,"For training the attribute classifiers, four frames are sampled from each track at proportional intervals: the first, one-third, two-thirds, and the last frame.","Not mentioned. The paper specifies some model architecture dimensions and parameters for the action detector, but not training hyperparameters like learning rate, batch size, or epochs.","Vehicle type/color are inferred using EfficientNet-b5 classifiers, while motion (stop/turn) is inferred using a rule-based analysis of the vehicle's trajectory based on speed and algebraic area.",Not mentioned. The paper processes video tracks of unspecified length from the AI City Challenge 2021 dataset.,"Text queries and video tracks → Attribute extraction (SRL, classifiers, trajectory analysis) and feature encoding (BERT, ResNet) → Modified COOT model generates embeddings for similarity matching → A ranked list of videos is produced and refined using extracted attributes.","Not mentioned. The system performs text-to-video retrieval based on a fixed query, not interactive Q&A.",Not mentioned.,The system returns a ranked list of video tracks corresponding to a text query.,Not mentioned.,"Yes, motion is analyzed via a trajectory-based action detector for stop/turn events and by adapting the COOT model, which uses transformers to model temporal relationships between frame features.",Not mentioned.,"Videos are represented by concatenating frame-level features, which combine global context (ResNet-152), vehicle/color attributes (EfficientNet), and location information, processed by a modified COOT model to create a final embedding.",Not mentioned. The method processes pre-segmented video tracks of individual vehicles provided by the AI City Challenge 2021 dataset.,"Yes, the analysis is visual-only (paired with text), using EfficientNet-b5 for vehicle/color classifiers and ResNet-152 for extracting global frame features."
Type-to-Track -  Retrieve Any Object via Prompt-based Tracking.md,"Authors are from the University of Arkansas, pdActive Inc., and Carnegie Mellon University; the publication venue and year are not mentioned.","MENDER is compared to a two-stage baseline (MDETR + TrackFormer) on the GroOT dataset, showing up to a 14.7% gain in CA-MOTA and 4x speed improvement, and also to SOTA trackers like ByteTrack on the MOT17 benchmark.","The paper introduces a new dataset, GroOT, created from MOT17, TAO, and MOT20 videos with new textual annotations, and uses RefCOCO+ and Flickr30k for pre-training.","Inference speed was measured on a single NVIDIA RTX 3060 12GB GPU, and the Arkansas High-Performance Computing Center provided GPUs for the research.",Not mentioned. The paper implies frame-by-frame processing for tracking but does not specify any frame sampling method or rate.,"Not mentioned. The paper specifies model architecture details like feature dimension D=512 and loss coefficients (0.3), but does not state training hyperparameters like learning rate, batch size, or epochs.","Inference is performed by the MENDER model, a transformer-based framework that uses multi-head cross-attention to correlate visual features from a ResNet-101 with textual prompt embeddings from RoBERTa to predict object tracklets.","The paper uses short video sequences from datasets like MOT17 and TAO, which typically last from seconds to a few minutes; no videos longer than 60 minutes are mentioned.","Video frames and a text prompt are input to the MENDER model, which uses a ResNet-101/Deformable DETR for visual features and RoBERTa for text embeddings, correlating them via cross-attention to output tracked object bounding boxes.","Not mentioned. The system is described as ""responsive"" but lacks true Q&A capabilities, which is noted as a limitation.","Yes, a project page link is provided: uark-cviu.github.io/Type-to-Track.","The system returns tracklets, which are bounding boxes with unique identities for the described objects, tracked frame-by-frame through the video sequence.",Not mentioned. The paper focuses exclusively on visual and textual modalities.,"Yes, the MENDER model is an auto-regressive framework that models temporal changes by using tracklet information from the previous frame to predict object locations in the current frame.",Not mentioned. The paper focuses exclusively on visual and textual modalities.,"Video content is represented as visual tokens from a ResNet-101 and Deformable DETR encoder, while text prompts are represented as embeddings from RoBERTa, with the system correlating these representations.",Not mentioned. The paper uses pre-existing video sequences from standard tracking datasets without describing any additional video segmentation process.,"The model uses a ResNet-101 backbone followed by a Deformable DETR encoder to extract visual features, but it is not a visual-only model as it also processes text prompts."
Understanding Co-speech Gestures in-the-wild.md,"The authors are from the Visual Geometry Group, Department of Engineering Science, University of Oxford.","The model is compared against Clip4Clip, Language-Bind, GestSync, and GestureDiffuCLIP on the AVS-Ret, AVS-Spot, and AVS-Asd benchmarks, showing superior performance, such as achieving 18.80 R@5 on retrieval versus the best fine-tuned baseline's 10.00.","The model is trained on the PATS and a subset of the MultiVSR datasets, and evaluated on three newly curated benchmarks (AVS-Ret, AVS-Spot, AVS-Asd) from the AVSpeech dataset.",Not mentioned.,All videos are resampled to a uniform 25 FPS.,"Key hyperparameters include an AdamW optimizer with a 1e-4 learning rate, 1e-4 weight decay, 224x224 pixel frame inputs, and Transformer heads with a 512 hidden dimension and 8 attention heads.",Gestured words are inferred by computing the cosine similarity between a word's speech-text embedding and all frame-level gesture embeddings to localize the word in the video.,The model processes short video clips randomly sampled to be 2-10 seconds long; no videos longer than 60 minutes are mentioned.,"Video, speech, and text inputs are processed by separate encoders, fused, and trained with global phrase contrastive and local gesture-word coupling losses to produce joint embeddings for retrieval, spotting, and speaker detection.",Not mentioned. The paper does not describe any interactive Q&A or chat capabilities.,"The dataset, model, and code are available at https://www.robots.ox.ac.uk/~vgg/research/jegal.",The system retrieves gesture clips given a speech/text query (and vice-versa) by ranking embeddings in a gallery based on cosine similarity.,Not mentioned. The paper focuses on co-speech audio and does not discuss non-speech sound analysis.,"Spatiotemporal analysis is performed using a stack of 3D convolution layers with a 5-frame temporal receptive field, followed by a stack of Transformer encoder layers to model motion.",Speech content is analyzed by encoding mel-spectrograms with a 2D-CNN and using WhisperX to obtain word-aligned text transcripts.,"Video content is represented through a learned joint tri-modal embedding space for gestures, audio, and language, using modality-specific encoders (3D CNN, 2D CNN, Roberta XLM-Base) and a fusion block.","Video clips are randomly sampled to be between 2-10 seconds in length, using the start and end times of word boundaries from the transcriptions.","The model is not visual-only; it uses a 3D CNN backbone initialized from GestSync for visual analysis, with the face region masked out to prevent learning from lip movements."
Unified Static and Dynamic Network - Efficient Temporal Filtering for Video Grounding.md,"The authors are affiliated with Hefei University of Technology (HFUT), Anhui University, and the University of Science and Technology of China. The publication venue and year are not explicitly mentioned.","The model is compared to baselines like 2D-TAN, MMN, and PTRM on datasets including ActivityNet Captions and TACoS, reporting state-of-the-art results such as a 10.31% gain in R@1, IoU@0.5 over PTRM.","The paper uses ActivityNet Captions, Charades-STA, TACoS, and QVHighlights for NLVG, and ActivityNet Speech for SLVG. It also introduces two new datasets: Charades-STA Speech and TACoS Speech.","All experiments were conducted on a single GeForce RTX 2080Ti GPU; training duration is not specified, but inference speed is reported as 0.009 s/query.",Not mentioned. The paper uses pre-extracted clip-level features and does not specify the underlying frame sampling method.,"For ActivityNet Captions: batch size 12, LR 1e-4, 15 epochs, 64 clips. S3Net has 2 layers/1024 hidden size; DTFNet has 4 layers/256 hidden size. NMS threshold is 0.5.",The model infers the target moment by learning cross-modal associations between queries and video clips using a Static Semantic Supplement Network (S3Net) and a Dynamic Temporal Filtering Network (DTFNet) to rank proposals.,The method processes untrimmed videos with average durations ranging from 30.60s to 286.59s; no processed videos are mentioned to be ≥ 60 minutes long.,Pre-extracted video and query features → Static S3Net (ResMLP) for global interaction → Dynamic DTFNet (GCN) for temporal filtering → 2D proposal map generation and ranking → Predicted temporal boundary.,Not mentioned. The system performs video grounding from a single query and does not have interactive Q&A or chat capabilities.,A code repository is available at https://github.com/xian-sh/UniSDNet.,The system retrieves temporal boundaries (start and end timestamps) by generating and ranking candidate moment proposals from a 2D temporal map.,Not mentioned. The paper focuses on spoken language queries and does not discuss the analysis of non-speech audio.,"Yes, spatiotemporal analysis is performed using a Dynamic Temporal Filtering Network (DTFNet), a GCN-based architecture that models context correlations between video clips using a multi-kernel Temporal Gaussian Filter.","Yes, speech audio is analyzed for the Spoken Language Video Grounding (SLVG) task using the Data2vec model to extract audio sequence embeddings.","Videos are represented as a sequence of pre-extracted clip-level embeddings (C3D, VGG, I3D), which are refined by the model and used to generate a 2D temporary proposal map representing all candidate moments.","Videos are uniformly sampled into a fixed number of clips (e.g., 16, 64, or 128) depending on the dataset and visual feature extractor used.","The paper does not use a visual-only modality as it is a cross-modal task, but it employs pre-extracted visual features from C3D, VGG, and I3D backbones."
Unified Video-Language Pre-training with Synchronized Audio.md,"The authors are affiliated with CMU, MBZUAI, and Xiaohongshu. The publication venue and year are not stated.","Compared to baselines like AllinOne, TVLT, and Frozen on MSR-VTT, achieving gains such as +5.0 R@1 over AllinOne and +5.1 R@1 over TVLT.","Pre-trained on an intersection of HowTo100M and AudioSet (0.9M triplets), and evaluated on MSR-VTT, LSMDC, AudioCaps, SoundDescs, and Yoocook2.","Not mentioned. The paper does not specify the hardware (e.g., GPUs/TPUs) or the total training time.",Randomly sampling 8 frames per video clip.,"Pre-training: batch size 2048, LR 1e-4, 200k steps. Fine-tuning: batch size 256, 20 epochs. Input: 8 frames, 224x224 resolution, 16x16 patch size.",Not mentioned. The model learns joint embeddings for retrieval but does not perform explicit inference of roles or activities.,Not mentioned. The paper uses video clips but does not specify their duration or mention processing videos longer than 60 minutes.,"Video frames, text, and audio spectrograms are tokenized into patches, processed by a unified transformer encoder, and trained with local-patch masking and global audio matching to produce modality-specific global embeddings for cross-modal retrieval.",Not mentioned. The paper focuses on cross-modal retrieval tasks and does not describe any interactive question-answering or chat capabilities.,Not mentioned. The paper does not provide any links to code or data repositories.,The system retrieves video clips or audio clips by computing the cosine similarity between global query and item embeddings.,"Yes, the model processes general audio by converting waveforms into log-frequency spectrograms and using them as input to the unified transformer.","A unified transformer encoder aggregates patch-level features from a sequence of 8 frames, implicitly modeling spatiotemporal interactions via self-attention.","Not mentioned. The model uses provided text transcripts and analyzes general audio spectrograms, without performing ASR or using speech-specific audio models.","Video content is represented by global embeddings generated by a unified transformer, which averages the local patch-level features of sampled frames.",Not mentioned. The paper uses pre-existing video clips from standard datasets without describing any new video segmentation method.,"The model is tri-modal (video, text, audio), using a ViT-base model as the shared backbone for visual feature extraction from video frames."
Use What You Have - Video Retrieval Using Representations From Collaborative Experts.md,"The authors are from the Visual Geometry Group at the University of Oxford, UK; the paper is from 2019.","The Collaborative Experts (CE) model was compared against baselines like MoEE, JSFusion, and VSE++ on MSR-VTT, LSMDC, MSVD, DiDeMo, and ActivityNet, showing improved R@K and rank metrics.","MSR-VTT, LSMDC, MSVD, DiDeMo, and ActivityNet-captions were used for experiments; a new resource with code and data is provided.",Not mentioned. The paper does not specify the hardware (GPUs/TPUs) or the time required for training.,"Not mentioned. The paper states that features are extracted at a frame-level and then aggregated, but does not specify a sampling rate or method.","Not mentioned. The paper states that optimization settings and hyperparameters are described in an appendix, which is not included in the provided text.","Roles and activities are implicitly captured by combining embeddings from a collection of pre-trained expert models for tasks like action recognition, object detection, and scene classification.","Not mentioned. The paper refers to ""video clips"" and ""video segments"" from standard retrieval datasets but does not specify their duration or any length constraints.","Multi-modal video data and a text query are fed into separate encoders; pre-trained experts extract video features which are fused by a collaborative gating module into a single embedding, then compared against the text embedding for retrieval.",Not mentioned. The system performs one-shot text-to-video retrieval without any interactive or conversational capabilities.,"Yes, a link to code and data is provided: www.robots.ox.ac.uk/~vgg/research/collaborative-experts/.",The system retrieves ranked video clips by computing cosine similarity between pre-computed video embeddings and a text query embedding.,"Yes, non-speech audio embeddings are generated using a VGGish model trained on the YouTube-8m dataset.","Yes, motion embeddings are generated using 3D CNN models I3D and R(2+1)D to capture temporal dynamics.","Yes, speech-to-text features are extracted using the Google Cloud speech API and then encoded with word2vec embeddings.","A single, compact fixed-length vector is created by aggregating and combining embeddings from multiple pre-trained experts (e.g., motion, object, audio, speech, OCR) using a collaborative gating module.",Not mentioned. The paper uses pre-existing video clips from standard datasets without describing how they were segmented.,"No, the model is multi-modal; visual backbones include SENet-154, ResNext-101 for objects, I3D and R(2+1)D for motion, and ResNet50 for faces."
VALOR Vision-Audio-Language Omni-Perception Pretraining Model and Dataset.md,"Authors are affiliated with the University of Chinese Academy of Sciences, Institute of Automation (Chinese Academy of Sciences), and Nanjing University of Science and Technology; venue and year are not mentioned.","Compared against SOTA models like CLIP-VIP, InternVideo, GIT2, and Flamingo on retrieval, captioning, and QA tasks across datasets like MSRVTT, DiDeMo, ActivityNet, and AudioCaps, reporting significant performance gains.","Created the VALOR-1M pretraining dataset and VALOR-32K benchmark; also used WebVid-2.5M, CC14M, and HD_VILA_10M for pretraining and evaluated on numerous public benchmarks like MSRVTT, DiDeMo, AudioCaps, and MSVD-QA.",Trained using the PyTorch framework on 8 Tesla A100 GPUs.,"Sparsely samples frames from video clips, specifically sampling one video frame per video during pretraining.","Pretrained with a learning rate of 1e-4, batch sizes of 512 (VALORB) or 1024 (VALORL), 224 resolution, sampling 1 frame per video, and using a 60% mask probability for MGC.","Infers activities and concepts end-to-end via learned multimodal representations from alignment (MGA) and generative (MGC) pretraining tasks, without explicit rules.",Pretrained on short video clips around 10 seconds long sourced from the AudioSet dataset; no processing of videos ≥ 60 minutes is mentioned.,"Video/Audio/Text → Separate Encoders (VideoSwin/CLIP, AST, BERT) → Multimodal Grouping Alignment (MGA) for contrastive learning and Multimodal Grouping Captioning (MGC) with a decoder for generation → Retrieved clips or generated text (captions/answers).","Supports open-ended question answering by formulating it as a generative, autoregressive task, but no interactive chat capabilities are mentioned.",https://casia-iva-group.github.io/projects/VALOR,Returns ranked videos or audio clips to the user based on computed similarity scores between the query and all candidates.,Analyzes non-speech audio using an Audio Spectrogram Transformer (AST) pretrained on AudioSet to encode general audio events.,"Models temporal interactions using VideoSwin Transformer, which contains temporal window attention, while also using a CLIP encoder that processes frames independently.",Not mentioned. The paper explicitly contrasts its approach with methods that rely on ASR transcriptions and human speech.,"Represents content as learned embeddings from separate encoders (VideoSwin/CLIP, AST, BERT) projected into a common semantic space for contrastive alignment and conditional generation.",Uses pre-segmented 10-second video clips from the AudioSet dataset for pretraining and splits audio waveforms into 5-second clips.,"Uses vision as a key modality in a multimodal system, not visual-only, employing CLIP and VideoSwin Transformer as visual backbones."
VAST A Vision-Audio-Subtitle-Text Omni-Modality Foundation Model and Dataset.md,"The authors are affiliated with the University of Chinese Academy of Sciences and the Institute of Automation, Chinese Academy of Science. The publication venue and year are not mentioned.","VAST is compared to numerous state-of-the-art models (e.g., VALOR, GIT2) across 20+ benchmarks, achieving significant gains, such as +5.1 R@1 on MSRVTT retrieval and +7.6 R@1 on Clothov1 retrieval.","The paper introduces the VAST-27M dataset, created from HD_VILA_100M. The model is trained on a combination of VAST-27M, VALOR-1M, WavCaps, CC14M, and LAION-400M, and evaluated on numerous standard benchmarks.","The model was trained on 64 Tesla V100 GPUs using the PyTorch framework for 200,000 training steps; total training duration is not specified.",One video frame is randomly sampled for each video clip during the pretraining stage.,"Key hyperparameters include a batch size of 1024, an initial learning rate of 1e-4 with linear decay, 200K training steps, 1 sampled frame, and two 10s audio clips per video.","Inferences for tasks like retrieval, captioning, and QA are made via the trained VAST foundation model's forward pass, using learned multi-modal representations for similarity scoring or generative decoding.","The model processes video clips with lengths between 5 and 30 seconds, selected from long-form videos. No processed video is longer than 60 minutes.","Video (vision, audio, subtitle) and text modalities are fed into separate encoders, whose outputs are fused via cross-attention in a text encoder and trained with contrastive, matching, and generation losses to produce retrieved clips, captions, or QA answers.","No, the model is evaluated on standard QA benchmarks by formulating them as open-ended generative problems, but it does not have interactive chat capabilities.","Yes, a GitHub repository link is provided for the code, model, and dataset.","The system performs retrieval at the video clip level, returning a ranked list of clips based on a two-stage ranking process using contrastive and matching losses.","Yes, non-speech audio is analyzed using a BEATs audio encoder to process audio clips and generate audio captions.","Not mentioned. The model uses a ViT vision encoder on a single randomly sampled frame, suggesting no explicit spatiotemporal analysis is performed.","The model processes pre-existing subtitles, which are often derived from ASR, as a distinct input modality but does not perform ASR or use speech embeddings itself.","Video content is represented via concatenated multi-modal embeddings from vision (EVAClip-ViT-G), audio (BEATs), and subtitle (BERT) encoders, which are then used for contrastive learning and other downstream tasks.","Not mentioned. The paper uses pre-segmented clips from the HD_VILA_100M dataset and filters them by length, but does not describe the original segmentation method.","The paper uses a multi-modal approach, not visual-only. The primary visual backbone is EVAClip-ViT-G, with CLIP-ViT-B used for ablation studies."
Video-RAG - Visually Aligned Retrieval-Augmented Long Video Comprehension.md,The authors are affiliated with Xiamen University and the University of Rochester; the publication venue and year are not mentioned.,"Compared against proprietary models (GPT-4o, Gemini-1.5-Pro) and six open-source LVLMs on Video-MME, achieving an 8.0% average gain and outperforming Gemini-1.5-Pro when paired with LLaVA-Video-72B (+8.6% gain).","The method was evaluated on the Video-MME, MLVU, and LongVideoBench benchmarks; no new dataset was created.","Experiments were performed on NVIDIA A100 80G GPUs. The method is training-free, and inference takes approximately 5-11 seconds per case.","Uniform frame sampling is used for general processing, while keyframes for object detection are selected based on a CLIP similarity threshold between the frames and the retrieval request.","The training-free method samples 8, 16, or 32 frames depending on the base model, and sets both the CLIP and FAISS similarity retrieval thresholds to 0.3.","An LVLM infers the final answer by reasoning over a combined input of sampled video frames, the user's query, and retrieved auxiliary texts from OCR, ASR, and object detection.","The method is designed for long videos, evaluated on benchmarks with durations ranging from 11 seconds to 2 hours, including videos longer than 60 minutes.","User query and video → LVLM decouples the query, generates auxiliary text databases (OCR, ASR, DET), retrieves relevant texts via RAG, and integrates them with video frames → LVLM generates the final text response.","No, the pipeline is a non-interactive, single-turn retrieval system that processes a query and generates a final response without conversational capabilities.",A GitHub repository is available at https://github.com/Leon1207/Video-RAG-master.,"The system returns a generated text response to the user; internally, it retrieves relevant text chunks from OCR, ASR, and object detection databases using a FAISS index.",Not mentioned. The paper only describes using ASR for speech content and does not mention analyzing non-speech audio like music or background effects.,Not mentioned. The method uses an image-based visual encoder on sampled frames and does not explicitly model spatiotemporal dynamics.,"Yes, the Whisper model is used for Automatic Speech Recognition (ASR) to transcribe raw audio into text for an ASR database.","Video content is represented using sampled visual frames and three parallel text databases (OCR, ASR, object detection) indexed for Retrieval-Augmented Generation using Contriever embeddings and a FAISS index.",Not mentioned. The paper describes sampling frames directly from videos without mentioning any prior segmentation into shots or scenes.,"The method is multimodal, not visual-only, and uses an image-based visual encoder like CLIP-L as its visual backbone."
